ETM route num,Start,Via,End,Bus Type,Start code,Via code,End code,Binding ID,TARA ID,Include,Type,Stages,Route type,Route code,Route No.,Routes to be added,265,ETM routes,Routes to be removed,,,
mrg66,COLLEM,U.TISK,PANJIM,ORDINARY,CLM,U.TSK,PNJ,0,98,Y,O,23,,CLM-U.TSK-PNJ,mrg66,,,,,,,
mrg67,MARGAO,CORTALIM,PANAJI,AC LUXURY,MRG,CRT,PNJ,#N/A,#N/A,Y,S/AC,2,,MRG-CRT-PNJ,mrg67,,,,,,,
mrg68,MARGAO,ANMOD,BELGAUM CBT,EXPRESS,MRG,ANMD ,BGM CBT,#N/A,#N/A,Y,IS,16,X,X:MRG-ANMD -BGM CBT,mrg68,,,,,,,
mrg69,KARASHI/DAN,CANACONA,PANAJI,ORDINARY,KRSH,CNC,PNJ,#N/A,#N/A,Y,O,26,,KRSH-CNC-PNJ,mrg69,,,,,,,
mrg7,MARGAO,PND/ANMOD,CBT BELGAUM,ORDINARY,MRG,PND/ANMD,BGM CBT,#N/A,#N/A,Y,IS,16,,MRG-PND/ANMD-BGM CBT,mrg7,,,,,,,
mrg70,MARGAO,MALEWAD,MALVAN,ORDINARY,MRG,MLWD,MLW,#N/A,#N/A,Y,IS,37,,MRG-MLWD-MLW,mrg70,,,,,,,
mrg71,MARGAO,THANA,VASCO,ORDINARY,MRG,THNA,VSD,#N/A,#N/A,Y,O,18,,MRG-THNA-VSD,mrg71,,,,,,,
mrg72,VAL,MARGAO,PANAJI,ORDINARY,VAL,MRG,PNJ,#N/A,#N/A,Y,O,27,,VAL-MRG-PNJ,mrg72,,,,,,,
mrg73,MOLKOPON,MARGAO,PANAJI,ORDINARY,MLKPN,MRG,PNJ,#N/A,#N/A,Y,O,23,,MLKPN-MRG-PNJ,mrg73,,,,,,,
mrg74,PIRLA,MARGAO,PANAJI,ORDINARY,PRL,MRG,PNJ,#N/A,#N/A,Y,O,24,,PRL-MRG-PNJ,mrg74,,,,,,,
mrg75,CAB-DE-RAM,MARGAO,PANAJI,ORDINARY,CBDRM,MRG,PNJ,#N/A,#N/A,Y,O,25,,CBDRM-MRG-PNJ,mrg75,,,,,,,
mrg76,NETURLIM,MARGAO,PANAJI,ORDINARY,NTL,MRG,PNJ,#N/A,#N/A,Y,O,34,,NTL-MRG-PNJ,mrg76,,,,,,,
mrg77,TIRVAN,MARGAO,PANAJI,ORDINARY,TRVN,MRG,PNJ,#N/A,#N/A,Y,O,30,,TRVN-MRG-PNJ,mrg77,,,,,,,
mrg78,MOLLEM,MARGAO,PANAJI,ORDINARY,MLM,MRG,PNJ,#N/A,#N/A,Y,O,30,,MLM-MRG-PNJ,mrg78,,,,,,,
mrg79,TUDAL,MARGAO,PANAJI,ORDINARY,TDL,MRG,PNJ,#N/A,#N/A,Y,O,29,,TDL-MRG-PNJ,mrg79,,,,,,,
mrg8,MARGAO,PATRADEVI,SAWANTWADI,EXPRESS,MRG,PTR,SWD,#N/A,#N/A,Y,IS,26,X,X:MRG-PTR-SWD,mrg8,,,,,,,
mrg80,KAMARKHAN,MARGAO,PANAJI,ORDINARY,KMRKN,MRG,PNJ,#N/A,#N/A,Y,O,29,,KMRKN-MRG-PNJ,mrg80,,,,,,,
mrg81,KHARGAL,CANACONA,MARGAO,ORDINARY,KHRGL,CNC,MRG,#N/A,#N/A,Y,O,19,,KHRGL-CNC-MRG,mrg81,,,,,,,
mrg82,MARGAO,RIVONA,VADDEM,ORDINARY,MRG,RVN,VDM,#N/A,#N/A,Y,O,22,,MRG-RVN-VDM,mrg82,,,,,,,
mrg83,CURCHOREM,RIVONA,VADDEM,ORDINARY,CURCH,RVN,VDM,#N/A,#N/A,Y,O,15,,CURCH-RVN-VDM,mrg83,,,,,,,
mrg84,VADDEM,RVN/MARGAO,PANAJI,ORDINARY,VDM,0,PNJ,#N/A,#N/A,Y,O,33,,VDM-0-PNJ,mrg84,,,,,,,
mrg85,MARGAO,CUNCOLIM,CANACONA,SHUTTLE,MRG,CUN,CNC,#N/A,#N/A,Y,S,2,S,S:MRG-CUN-CNC,mrg85,,,,,,,
mrg86,PANAJI,CORTALIM,VASCO,ORDINARY,PNJ,CRT,VSD,0,168,Y,O,16,,PNJ-CRT-VSD,mrg86,,,,,,,
