BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AGONBBX	ADGAON / GUNDHA X RD.		
AGONAR	ADGAON / MAHALAXMI HIVRE		
AGONCN	ADGAON / MUNGRUL		
AGONS	ADGAON / OZAR FATA		
AGONCNFT	ADGAON / TANGADI FATA		
AGONMN	ADGAON / TANGADI FATA		
AGONNN	ADGAON / TANGADI FATA		
AGABFT	ADGAON AMBE HILL FATA		
ABFOF	ADGAON B/F OZAR FATA		
ADGNB	ADGAON BHOMBE		
AGONAA	ADGAON BUDRUK		
AGONBD	ADGAON BUDRUK		
AGOU	ADGAON BUDRUK		
AGOURAR	ADGAON BUDRUK		
AGONCAA	ADGAON CHINCHOLI		
AGONCAJ	ADGAON CHINCHOLI		
AD	ADGAON DEOLA		
AAONFT	ADGAON FATA		
AAONFTC	ADGAON FATA		
AAONFTNN	ADGAON FATA		
ADGNFT	ADGAON FATA		
ADHGNFT	ADGAON FATA		
AGOA	ADGAON FATA		
AGOANAR	ADGAON FATA		
AGOFTMB	ADGAON FATA		
AGOFTPA	ADGAON FATA		
AGOFTSB	ADGAON FATA		
AGOMS	ADGAON FATA		
AGONFAA	ADGAON FATA		
AGONFAJ	ADGAON FATA		
AGONFPY	ADGAON FATA		
AGONFSR	ADGAON FATA		
AGOYJ	ADGAON FATA		
MAMN	ADGAON FATA		
ADGNFTHG	ADGAON FATA / HIGHWAY FATA		
AGONK	ADGAON FATA / OZAR FATA		
ADNHL	ADGAON HOSTEL		
AGOH	ADGAON KHURD		
AGOHA	ADGAON KHURD		
AGOHRAR	ADGAON KHURD		
AKW	ADGAON KOLIWADA		
AGMXXD	ADGAON MAHOLI X RD.		
AGONNK	ADGAON NAKA		
AGOZFT	ADGAON OZAR FATA		
AGASIBL	ADGAON RAJA		
ADGL	ADGAON RLY. STN.		
AGONSSR	ADGAON SARVE FATA		
AGONSMB	ADGAON SULTANPUR X RD.		
ADGNTND	ADGAON TANDA		
AGONTCN	ADGAON TANGADI		
AGTGFT	ADGAON TANGADI FATA		
ANVL	ADGAON VILLAGE		
ADGX	ADGAON X RD.		
ADGXLNN	ADGAON X RD.		
AGONXBB	ADGAON X RD.		
AGONXSA	ADGAON X RD.		
AHDA	ADHA ODHA		
ADHI	ADHAI		
AHLAKO	ADHALA		
AHLMP	ADHALE FATA		
ADAON	ADHALGAON		
AHLAN	ADHALGAON PHATA		
AHMKN	ADHAMBA		
ADHRE	ADHARE		
AHHSC	ADHARE HIGH SCHOOL		
ADHIN	ADHARE HIGH SCHOOL IN		
ADHOUT	ADHARE HIGH SCHOOL OUT		
AHRCPR	ADHARE HOSPITAL		
AHRIN	ADHARVAT		
ADHW	ADHARWADI		
ADHWIN	ADHARWADI		
AHVVS	ADHAV VASTI		
AHVVSRAR	ADHAV VASTI		
ADHD	ADHAVWADI		
AHVAI	ADHAVWADI		
AHWAEPR	ADHAWANE		
ADHE	ADHE		
AHSD	ADHE		
ADHFT	ADHE FATA		
AHGMS	ADHEGAON		
AHGANAA	ADHEGAON / CHINCHOLI FATA		
ADHF	ADHEGAON FATA		
AHGAA	ADHEGAON FATA		
AHGDMS	ADHEGAON FATA		
AHGPA	ADHEGAON FATA		
AHREDB	ADHEREA CHOWKI		
AHRADG	ADHERVADGAON FATA		
ADIDE	ADHIKADE		
ADHV	ADHIV		
ADIRE	ADHIVARE		
AIHAPD	ADHIVHA PADA		
AHWPS	ADHIW		
AHD	ADHODI		
ADHRWD	ADHORE WADI		
AHRIAL	ADHORI		
ADKAR	ADI		
AISR	ADI		
AIBADSR	ADI BANDAR		
AIBDOR	ADI BORVEL		
ADFTKAR	ADI FATA		
ADIFT	ADI FATA		
ADIFTR	ADI FATA		
AIFAASR	ADI FATA		
ADOHKAR	ADI ODHA		
AIWGAR	ADI WADI		
ADICHPD	ADICHAPADA		
ADAP	ADILABAD		
AIAKAS	ADINARAYAN MANDIR		
AINRVUSH	ADINARAYAN MANDIR		
AIAKSB	ADINATH KARKHANA		
AIAKS	ADINATH KARKHANA FATA		
AITEMR	ADISTE		
AITEFT	ADISTE FATA		
AITMDR	ADISTE FATA		
ADBTL	ADITYA BIRLA HOSPITAL		
AIYAEBB	ADITYA ENGINEERING COLLEGE		
ADMMD	ADITYA MATA MANDIR		
AYTHMD	ADITYANATH MANDIR		
AIADPT	ADIVADI		
AIADPRTE	ADIVADI ASHRAM		
AIAD	ADIVADI FATA		
AIADPRT	ADIVADI VASARE FATA		
AAVL	ADIVALI		
AIALKTRD	ADIVALI		
AIAIF	ADIVALI FATA		
ADVR	ADIVARE		
AIVRRPRA	ADIVARE BRIDGE		
AVARERJR	ADIVARE HIGH SCHOOL		
AVSL	ADIVASHI SCHOOL		
AIAS	ADIVASI		
AIASPRT	ADIVASI ASHRAM		
ADARSC	ADIVASI ASHRAM SCHOOL		
AIASWT	ADIVASI FATA		
AIAI	ADIVASI HSG. SOCIETY		
AIASPRTE	ADIVASI PADA		
AIASTT	ADIVASI VASAHAT		
AIASVT	ADIVASI VASAHAT		
AIASPT	ADIVASI VASARE FATA		
AIASTITE	ADIVASI VASTI		
ADIWD	ADIWASHI WADI		
ADWSCH	ADIWASI ASHRAM SHOOL		
AIASMB	ADIWASI CHOLA		
AIASPR	ADIWASI WADI		
AIEPRSR	ADIWE		
AKRAI	ADKARWADI		
AKASD	ADKE FATA		
ADKENG	ADKE NAGAR		
AKADKJT	ADKHADAK		
AKAMDR	ADKHAL BOUDHVADI		
AKALGN	ADKHAL GAON		
AHALMNR	ADKHAL RAM MANDIR		
ADKR	ADKUR		
ADKTL	ADKUTOLA		
ALPUPJ	ADLAPUR ROAD		
ADLEVS	ADLE VASTI		
AMPBK	ADMAPUR		
AMPRHK	ADMAPUR		
AMUKK	ADMAPUR		
ADMLVST	ADMILEVASTI		
ADIWLS	ADMIN BUNGALOW		
