ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
512	MUMBAI CENTRAL to TALEGAON	MCT	TALG
513	BORIVALI NANCY COLONY to MANDWA BANDAR	BVINC	MABN
515	BORIVALI NANCY COLONY to ROHA	BVINC	ROH
516	BORIVALI NANCY COLONY to ROHA via PUSHPA PARK MALAD	BVINC	ROH
517	BORIVALI NANCY COLONY to KHAIRA	BVINC	KHRA
519	MUMBAI CENTRAL to ROHA	MCT	ROH
520	BHAYANDER to SHRIVARDHAN	BYDR	SDN
522	BORIVALI NANCY COLONY to SHRIVARDHAN	BVINC	SDN
527	BHIVANDI to SHRIVARDHAN	BVD	SDN
529	THANE CBS to SHRIVARDHAN	THNCBS	SDN
531	MUMBAI CENTRAL to BAGMANDALA via PUGAON	MCT	BGMD
533	MUMBAI CENTRAL to DIGHI	MCT	DIGHI
535	MUMBAI CENTRAL to DIVE AGAR	MCT	DVAR
536	MUMBAI CENTRAL to DIGHI via MANKHURD RLY. STN.	MCT	DIGHI
537	MUMBAI CENTRAL to BAGMANDALA via BAPVAN	MCT	BGMD
538	MUMBAI CENTRAL to SHRIVARDHAN via PANGLOLI	MCT	SDN
540	MUMBAI CENTRAL to DIGHI via BANOTI	MCT	DIGHI
541	MUMBAI CENTRAL to SHRIVARDHAN	MCT	SDN
542	SHIVAJI NAGAR PUNE to ALIBAG	SNGR	ALB
543	SWARGATE, PUNE to ALIBAG	SWR	ALB
544	SWARGATE, PUNE to MAHAD	SWR	MHD
545	SWARGATE, PUNE to MAHAD via PARVATI PAYTHA	SWR	MHD
547	SHIVAJI NAGAR PUNE to ROHA	SNGR	ROH
548	SWARGATE, PUNE to ROHA via BHALE	SWR	ROH
549	SWARGATE, PUNE to TALA	SWR	TALA
550	DADAR EAST to SWARGATE, PUNE via MAITRI PARK	DDRE	SWR
551	KURLA NEHRU NAGAR to AKKALKOT	KNN	AKKT
552	KURLA NEHRU NAGAR to ALEPHATA	KNN	ALPT
555	KURLA NEHRU NAGAR to GHODEGAON via LONAVALA	KNN	GDGN
560	KURLA NEHRU NAGAR to GONDAVALE	KNN	GOND
561	KURLA NEHRU NAGAR to JUNNAR	KNN	JNR
565	KURLA NEHRU NAGAR to SATARA	KNN	STR
566	KURLA NEHRU NAGAR to PHALTAN	KNN	PHL
567	KURLA NEHRU NAGAR to MHASWAD	KNN	MHSWD
573	KURLA NEHRU NAGAR to TARAKPUR via LONAVALA	KNN	TKPR
574	KURLA NEHRU NAGAR to BHIMASHANKAR	KNN	BMHS
576	MUMBAI CENTRAL to ALIBAG	MCT	ALB
577	MUMBAI CENTRAL to ALEPHATA	MCT	ALPT
578	MUMBAI CENTRAL to AMBAVANE	MCT	AMV
579	MUMBAI CENTRAL to BELGAUM	MCT	BGM
580	MUMBAI CENTRAL to KHED	MCT	KHD
581	MUMBAI CENTRAL to PANDHERI	MCT	PADR
583	MUMBAI CENTRAL to BIJAPUR	MCT	BJP
584	MUMBAI CENTRAL to BHALAVALI	MCT	BLWL
585	MUMBAI CENTRAL to BANGALORE	MCT	BNG
587	MUMBAI CENTRAL to CHIPLUN	MCT	CPN
589	MUMBAI CENTRAL to CHOPADA	MCT	CPD
591	MUMBAI CENTRAL to DAPOLI	MCT	DPL
595	MUMBAI CENTRAL to HUBLI	MCT	HBL
596	MUMBAI CENTRAL to PEDAMBE	MCT	PDB
602	MUMBAI CENTRAL to SATARA	MCT	STR
604	MUMBAI CENTRAL to DODAVALI	MCT	DDVLI
605	MUMBAI CENTRAL to TRIMBAKESHWAR	MCT	TBK
613	MUMBAI CENTRAL to SHIRDI	MCT	SRDI
616	MUMBAI CENTRAL to NARAYANGAON	MCT	NRYGN
618	MUMBAI CENTRAL to UMBARGHAR	MCT	UMRAR
623	ANDHERI RTO OFFICE to JEJURI	ANDO	JJR
624	ANDHERI CHAR BUNGALOW to SHIRDI	CHBG	SRDI
626	DADAR EAST to PUNE RLY. STN. via CHINCHWAD	DDRE	PNESTN
628	PAREL to ANJARLE via ADE	PRL	ANJ
629	PAREL to SONSAL	PRL	SNSL
630	PAREL to BABHULWADA	PRL	BBWD
635	PAREL to GANGAPUR	PRL	GGP
636	PAREL to GONDAVALE	PRL	GOND
637	PAREL to JAMBUT	PRL	JMBT
641	PAREL to KANKAVALI	PRL	KNK
643	PAREL to NAVIN PUNADI	PRL	NVP
644	PAREL to SATARA	PRL	STR
648	PAREL to NARAYANGAON	PRL	NRYGN
649	PAREL to NASIK CBS	PRL	NSKCBS
654	PAREL to SHIRDI	PRL	SRDI
655	PAREL to TAMHANMALA	PRL	TMHL
