route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
152,FULLW,96419,"Vijaydurg via Sawantwadi",,0
152,FULLW,96435,"Panaji via Sawantwadi",,1
153,FULLW,95505,"Shigne via Mapusa Tar",,0
153,FULLW,95520,"Panaji via Mapusa Tar",,1
175,FULLW,96364,"Shemecheadvan via Dadachiwadi",,0
175,FULLW,96370,"Shemecheadvan via Dadachiwadi",,0
175,FULLW,96376,"Panaji via Dadachiwadi",,1
175,FULLW,96387,"Panaji via Dadachiwadi",,1
176,FULLW,96135,"Harambol via Chopdem",,0
176,FULLW,96145,"Panaji via Chopdem",,1
183,FULLW,96189,"Kudchire via Mapusa,Bicholim",,0
183,FULLW,96200,"Panaji via Mapusa,Bicholim",,1
185,FULLW,96336,"Rivem via Mapusa,Valpoi",,0
185,FULLW,96357,"Panaji via Mapusa,Valpoi",,1
186,FULLW,96136,"Harambol via Candolim,Calangute",,0
187,FULLW,96396,"Tiracol via Pedne,Malewad",,0
187,FULLW,96405,"Panaji via Pedne,Malewad",,1
188,FULLW,97101,"Akhada",,0
188,FULLW,97114,"Panaji",,1
190,FULLW,96073,"Calangute via Sangolda",,0
190,FULLW,96077,"Calangute via Sangolda",,0
191,FULLW,96384,"Surla via Sakhali,Chorla",,0
191,FULLW,96397,"Panaji via Sakhali,Chorla",,1
192,FULLW,96430,"Volvoi",,0
192,FULLW,96438,"Volvoi",,0
192,FULLW,96447,"Volvoi",,0
192,FULLW,96453,"Panaji",,1
192,FULLW,96461,"Panaji",,1
192,FULLW,96470,"Panaji",,1
194,FULLW,96403,"Vagurme",,0
194,FULLW,96414,"Panaji",,1
196,FULLW,96451,"Codli Tisk",,0
197,FULLW,96298,"Pethecha Wada",,0
197,FULLW,96320,"Panaji",,1
198,FULLW,97282,"Amthane via Bicholim",,0
198,FULLW,97283,"Amthane via Bicholim",,0
198,FULLW,97284,"Panaji via Bicholim",,1
199,FULLW,96423,"Panaji via Mapusa",,1
204,FULLW,96266,"Mopa via Pedne",,0
204,FULLW,96277,"Mopa via Pedne",,0
204,FULLW,96287,"Panaji via Pedne",,1
204,FULLW,96300,"Panaji via Pedne",,1
205,FULLW,96413,"Verna Titan via Cortalim",,0
205,FULLW,96418,"Verna Titan via Cortalim",,0
205,FULLW,96424,"Verna Titan via Cortalim",,0
205,FULLW,96432,"Panaji via Cortalim",,1
205,FULLW,96437,"Panaji via Cortalim",,1
205,FULLW,96443,"Panaji via Cortalim",,1
206,FULLW,96337,"Rivem via Marcel,Valpoi",,0
206,FULLW,96348,"Panaji via Marcel,Valpoi",,1
207,FULLW,96393,"Tambdi Surla via Ponda,Udalshe",,0
207,FULLW,96408,"Panaji via Ponda,Udalshe",,1
207,FULLW,96417,"Panaji via Ponda,Udalshe",,1
210,FULLW,96202,"Malpon",,0
210,FULLW,96215,"Malpon",,0
210,FULLW,96230,"Panaji",,1
210,FULLW,96249,"Panaji",,1
212,FULLW,96076,"Panaji via Betim,Pilerne",,1
212,FULLW,96081,"Panaji via Betim,Pilerne",,1
214,FULLW,96170,"Keri, Pernem via Chopdem",,0
214,FULLW,96178,"Keri, Pernem via Chopdem",,0
214,FULLW,96188,"Keri, Pernem via Chopdem",,0
214,FULLW,96197,"Panaji via Chopdem",,1
214,FULLW,96205,"Panaji via Chopdem",,1
214,FULLW,96214,"Panaji via Chopdem",,1
214,FULLW,96225,"Panaji via Chopdem",,1
216,FULLW,96476,"Shirshire",,0
216,FULLW,96478,"Shirshire",,0
216,FULLW,96482,"Shirshire",,0
216,FULLW,96488,"Shirshire",,0
216,FULLW,96490,"Ponda",,1
216,FULLW,96498,"Ponda",,1
222,FULLW,96481,"Undir",,0
222,FULLW,96489,"Ponda",,1
223,FULLW,95708,"Solye via Kakorda",,0
223,FULLW,95711,"Curchorem - Savordem via Kakorda",,1
443,FULLW,96395,"Tambdi Surla via Ponda,Bolkarne",,0
448,FULLW,96428,"Panaji via Assnora",,1
451,FULLW,95660,"Verna IDC via Marcel",,0
451,FULLW,95673,"Bicholim via Marcel",,1
458,FULLW,95685,"Matimol via Parvem",,0
458,FULLW,95691,"Canacona via Parvem",,1
459,FULLW,95690,"Popaidando via Cajumol",,0
464,FULLW,95697,"Velim via Murida",,0
466,FULLW,95701,"Mollem via Collem",,0
471,FULLW,95709,"Vade Colony via Rivona",,0
471,FULLW,95713,"Curchorem - Savordem via Rivona",,1
485,FULLW,95785,"Betul Cross via Cuncolim",,0
485,FULLW,95804,"Betul Cross via Cuncolim",,0
485,FULLW,95820,"Margao via Cuncolim",,1
485,FULLW,95830,"Margao via Cuncolim",,1
487,FULLW,95813,"Cab de Ram via Balli",,0
487,FULLW,95824,"Margao via Balli",,1
492,FULLW,95970,"Verna Cipla via Agnel Ashra",,0
492,FULLW,95976,"Verna Cipla via Agnel Ashra",,0
