D14608,"The last stop_time in trip D14608 is missing times."
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L1303"
L1303,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L1303"
L1305,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L1305"
L1305,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L1305"
L1305,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1305"
L1305,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1305"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L1308"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 15 in trip L1308"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L1308"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L1308"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L1308"
L1308,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L1308"
L1318,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L1318"
L1318,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1318"
L1318,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L1318"
L1318,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L1318"
L1319,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L1319"
L1319,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L1319"
L1319,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1319"
L1319,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1319"
L1319,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L1319"
L131,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L131"
L133,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L133"
L135,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L135"
L1371,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1371"
L1372,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L1372"
L1385,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L1385"
L13915,"Timetravel detected! Arrival time is before previous departure at sequence number 118 in trip L13915"
L1428,"High speed travel detected in trip L1428: NAGPUR to SELU. 350555 meters in 3600 seconds. (351 km/h)."
L1428,"High speed travel detected in trip L1428: SELU to WARDHA. 267846 meters in 2700 seconds. (357 km/h)."
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L151"
L151,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L151"
L152,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L152"
L1631,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1631"
L1631,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L1631"
L1631,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L1631"
L1631,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L1631"
L1632,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1632"
L1632,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1632"
L1632,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L1632"
L1637,"Timetravel detected! Arrival time is before previous departure at sequence number 71 in trip L1637"
L1637,"Timetravel detected! Arrival time is before previous departure at sequence number 80 in trip L1637"
L1637,"Timetravel detected! Arrival time is before previous departure at sequence number 82 in trip L1637"
L1637,"Timetravel detected! Arrival time is before previous departure at sequence number 83 in trip L1637"
L1638,"Timetravel detected! Arrival time is before previous departure at sequence number 55 in trip L1638"
L1638,"Timetravel detected! Arrival time is before previous departure at sequence number 61 in trip L1638"
L1638,"Timetravel detected! Arrival time is before previous departure at sequence number 76 in trip L1638"
L1638,"Timetravel detected! Arrival time is before previous departure at sequence number 83 in trip L1638"
L164252,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L164252"
L1645,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1645"
L1645,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1645"
L1645,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L1645"
L1648,"Timetravel detected! Arrival time is before previous departure at sequence number 38 in trip L1648"
L1648,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L1648"
L1648,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L1648"
L1648,"Timetravel detected! Arrival time is before previous departure at sequence number 74 in trip L1648"
L1655,"High speed travel detected in trip L1655: OSMANABAD to BORIVALI NANCY COLONY. 354889 meters in 0 seconds."
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L1655"
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L1655"
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L1655"
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L1655"
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L1655"
L1655,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1655"
L1656,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L1656"
L1656,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1656"
L1656,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L1656"
