stop_name,stop_code,latitude,longitude
GOPALWADI,GGPLNN,20.12904,74.45007
GAGAR WADI FATA,GGRWDFT,19.96123,73.596586
GHODAMBE,GHDMBE,20.507737,73.753949
GHAGBARI OTABARI FATA,GHOTFT,20.450781,73.760458
GHAREGAON,GHRO,19.49763,74.198713
GHODSARWADI,GHSW,19.64378,74.00031
GHOTI,GHT,19.7137,73.62255
GHUGE VASTI,GHUGVST,19.67259,74.04833
GAIRKHEDA,GIKYN,20.037428,74.615841
GAJARVADI FATA,GJRNN,20.031647,74.147895
GHATAL BARI,GLBR,20.404191,73.577263
GOLDARI,GLDRI,20.141662,73.332018
GANGAMHALUNGI,GLGI,20.044426,73.596548
GOLHEWADI,GLHWD,20.053495,74.558593
GOLKHAL,GLKHL,20.51557,73.9257
GALPADA,GLPDA,20.492591,73.720182
GAMBHIRWADI,GMBHRWDI,19.172395,73.850806
GAIMUKH,GMKH,18.97354,73.94564
GIMARE,GMRE,20.073298,73.663035
GANGAWE,GNACN,20.246401,74.30478
GANGADARWAJA,GNAYN,20.04481,74.483393
GONDE,GNDE,19.82929,73.67534
GONDE FATA,GNDEFT,19.80183,74.05179
GONDE VILLEGE,GNDEIA,19.79866,74.05588
GANDULMAL,GNDMAL,20.614537,73.608429
GANGAPADLI,GNGPD,19.98953,73.92539
GANGAPUR,GNGPRNN,20.030184,73.715686
GANGAWADI,GNGWD,20.033488,73.688891
GANESH KHIND FATA,GNKHDFT,19.66949,74.07406
GANORE VPPER,GNORAA,20.607253,73.977442
GANORE WADI,GNREWD,20.116064,73.857286
GANESH MANDIR,GNSHMDTN,19.934665,73.53149
GANESHGAON / TRIMBAK FATA,GNSHTRM,20.009606,73.622399
GANPAT BARI,GNTBARI,19.964775,73.52776
GANGURDE WADI,GNUCN,20.2193,74.32711
GHODEGAON FATA,GOEMN,20.360485,74.481839
GOLASHI,GOHI,20.253911,73.639071
GHODHEGAON CHAUKI,GOHMN,20.45905,74.50431
GOPEGAON,GOPE,20.223853,73.938474
GOPALPUR,GOPURSN,20.44054,73.523898
GOTUL,GOTUL,20.532808,73.65391
GANGAPUR DAM,GPDM,20.053433,73.684211
GANGAPUR VILLAGE,GPVL,20.030135,73.714679
GIRNARE,GRAMN,20.348156,74.377997
GIRNARE,GRNRENN,20.07177,73.66289
GARWARE,GRWRE,20.06135,73.89103
GOSRANE,GSRNE,20.491577,73.925946
GUEST HOUSE FATA,GUES,20.27643,73.87497
GUREWADI,GURE,19.83952,74.02878
GANGAVANE NALA,GVNENL,19.880194,74.041455
HAL COLONY,HALCOLN,20.099668,73.928265
H.A.L. MAIN GATE,HALMG,20.06523,73.95063
HAL,HALQN,20.104969,73.94012
HAN PADA,HANPD,20.133073,73.359516
HATRUNDI,HARDI,20.524011,73.547565
HATARUNDI,HATR,20.126974,73.374987
HADEPSAWARGOAN,HDPYN,20.133336,74.527695
HEDMBA,HEDMBA,20.011446,73.459224
HEDMBA FATA,HEDMBFT,20.013999,73.482431
HARSUL,HHRUNN,20.288287,74.297146
HIVRE FATA,HHVESN,19.69726,73.95829
HIVARKHEDA,HHVRCN,20.272651,74.24795
HAKEWADI,HKWDI,20.344008,74.56818
HAL GATE,HLGT,20.10007,73.928736
HAL MAIN GATE,HMG,20.105386,73.940553
HINGANWEHDA VILLAGE,HNAWE,19.97361,73.92638
HANDEADI,HNEKA,19.947571,74.292601
HARPAD VASTI,HRACN,20.344834,74.414557
HARNUL,HRNL,20.303346,74.29364
HARAN TEKDI,HRNTKDI,20.481546,73.724495
HARSUL,HRSLTN,20.116819,73.45151
HARSULE FATA,HRSUIA,19.81088,73.95054
HARSUL,HRUSN,19.81141,73.95543
HARSULE VILLEGE,HRUSNK,19.813373,73.956004
HISVAL,HSANN,20.314976,74.646813
HASTE FAT,HSESN,20.427119,73.563503
HISHWALGAON,HSHWAA,20.307306,74.624902
HISHWAL STATION,HSWNNK,20.287721,74.561868
HATOND,HTND,20.0856,74.13626
HATNORA,HTNOR,20.21504,73.80081
HATTIPADA,HTPND,20.40436,73.543161
HATTI,HTTI,20.333638,74.056815
HANUMAN NAGAR,HUANNG,20.01927,73.83127
HIVRE VILLAGE,HVESN,19.70233,73.97984
HIVARGAON,HVRGN,19.94828,74.09881
INDORE,IDRDN,20.056843,73.805669
INDORE FATA,IDREFT,19.99464,73.79031
IGATPURI,IGT,19.69375,73.56887
IGATPURI RLY. STN.,IRN,19.69496,73.56441
IGATPURI BYPASS,ITBS,19.69275,73.54401
JADHAV VASTI,JADHAD,20.0833,74.12587
JADHAV VASTI,JADVSTA,20.54805,73.553016
JATEGAON,JATONTN,19.961726,73.643983
JAWALE,JAWALEPN,20.403699,73.575078
JAYKHEDA,JAYDA,20.802008,74.17634
JAMBOOT FATA,JBOTFT,19.13961,74.02008
JAIDAR,JDR,20.592104,73.892358
JEOUR,JEOURNN,20.403367,74.613152
JAGDHNE WADA,JGDHAA,20.313058,74.646279
JOGMODI FATA,JGDIFT,20.317663,73.617048
JOGALTEMBHI,JGLNN,19.967924,73.947075
JOGMODI FATA,JGMDIFT,20.350086,73.595706
JAIGAON,JGN,19.932492,73.975219
JAKHORI FATA,JHRIFT,19.92769,73.91553
JAIDAR FATA,JIARFT,20.584732,73.932621
JAHULE,JJHLDN,20.404137,73.577114
JALGAON,JJLAMN,20.406042,74.486526
JAMGAON,JJMASN,19.84798,73.92518
JAKHORI VILLAGE,JKHVL,19.9667,73.91651
JALGAON,JLANN,20.42013,74.49218
JALGAON,JLAYN,20.05344,74.36772
JALKHED FATA,JLHDN,20.31836,73.69677
JALUKLE,JLKLE,20.19694,73.96667
JAMBUTAKE FATA,JMBUIA,20.176146,73.731866
JAMUL PADA,JMLPD,20.083812,73.34947
JAMBUTAKE,JMUDN,20.202098,73.83092
JANOARI FATA,JNANN,20.072283,73.904259
JANORI FATA,JNRDN,20.030131,73.855128
JANARAO WADI,JNRMS,20.044643,74.575229
JONDHALWADI,JODDI,20.287055,74.558421
